Source,Target
Thomaz Bellucci,Rafael Nadal
Gilles Muller,Jo Wilfried Tsonga
Denis Istomin,Albert Ramos
Kyle Edmund,Alexandr Dolgopolov
Elias Ymer,Ivo Karlovic
Brydan Klein,Andreas Seppi
Sergiy Stakhovsky,Borna Coric
Alejandro Falla,Robin Haase
Mikhail Kukushkin,Andy Murray
Jeremy Chardy,Tomas Berdych
Filip Krajinovic,Nicolas Mahut
Ernests Gulbis,Lukas Rosol
Guillermo Garcia Lopez,Pablo Andujar
Pablo Carreno Busta,Gael Monfils
Michael Berrer,Adrian Mannarino
Yuichi Sugita,Blaz Kavcic
Nicolas Almagro,Gilles Simon
Steve Darcis,Feliciano Lopez
Facundo Bagnis,Nikoloz Basilashvili
Mikhail Youzhny,Benoit Paire
Ruben Bemelmans,Roberto Bautista Agut
Jack Sock,Samuel Groth
Malek Jaziri,James Duckworth
Igor Sijsling,Sam Querrey
Damir Dzumhur,Roger Federer
Jarkko Nieminen,Novak Djokovic
Pierre Hugues Herbert,Bernard Tomic
Marcel Granollers,Leonardo Mayer
Marsel Ilhan,Kevin Anderson
Ricardas Berankis,Marin Cilic
Matthew Ebden,John Isner
Alexander Zverev,Denis Kudla
Kei Nishikori,Santiago Giraldo
Victor Estrella,Stanislas Wawrinka
Dominic Thiem,Fernando Verdasco
John Millman,Marcos Baghdatis
Liam Broady,David Goffin
Steve Johnson,Grigor Dimitrov
Kenny De Schepper,Richard Gasquet
Juan Monaco,Nick Kyrgios
Tommy Haas,Milos Raonic
Jiri Vesely,James Ward
Fabio Fognini,Vasek Pospisil
Aljaz Bedene,Viktor Troicki
Rafael Nadal,Dustin Brown
Albert Ramos,Jo Wilfried Tsonga
Alexandr Dolgopolov,Ivo Karlovic
Borna Coric,Andreas Seppi
Robin Haase,Andy Murray
Nicolas Mahut,Tomas Berdych
Lukas Rosol,Pablo Andujar
Adrian Mannarino,Gael Monfils
Blaz Kavcic,Gilles Simon
Feliciano Lopez,Nikoloz Basilashvili
Benoit Paire,Roberto Bautista Agut
James Duckworth,Samuel Groth
Sam Querrey,Roger Federer
Bernard Tomic,Novak Djokovic
Leonardo Mayer,Kevin Anderson
John Isner,Marin Cilic
Santiago Giraldo,Denis Kudla
Fernando Verdasco,Stanislas Wawrinka
Marcos Baghdatis,David Goffin
Grigor Dimitrov,Richard Gasquet
Milos Raonic,Nick Kyrgios
James Ward,Vasek Pospisil
Dustin Brown,Viktor Troicki
Jo Wilfried Tsonga,Ivo Karlovic
Andreas Seppi,Andy Murray
Pablo Andujar,Tomas Berdych
Gael Monfils,Gilles Simon
Nikoloz Basilashvili,Roberto Bautista Agut
Samuel Groth,Roger Federer
Kevin Anderson,Novak Djokovic
Denis Kudla,Marin Cilic
David Goffin,Stanislas Wawrinka
Nick Kyrgios,Richard Gasquet
Viktor Troicki,Vasek Pospisil
Ivo Karlovic,Andy Murray
Tomas Berdych,Gilles Simon
Roberto Bautista Agut,Roger Federer
Marin Cilic,Novak Djokovic
Stanislas Wawrinka,Richard Gasquet
Vasek Pospisil,Andy Murray
Gilles Simon,Roger Federer
Richard Gasquet,Novak Djokovic
Andy Murray,Roger Federer
Roger Federer,Novak Djokovic
Facundo Bagnis,Alejandro Gonzalez
Gonzalo Escobar,Nicolas Jarry
Luca Vanni,Dusan Lajovic
Andreas Haider Maurer,Gerald Melzer
Joao Souza,Alejandro Falla
Adrian Menendez Maceiras,Paolo Lorenzi
Andre Ghem,Victor Estrella
Evgeny Donskoy,Renzo Olivo
Marton Fucsovics,Daniel Gimeno Traver
Giovanni Lapentti,Thomaz Bellucci
Austin Krajicek,Horacio Zeballos
Facundo Arguello,Albert Montanes
Alejandro Gonzalez,Feliciano Lopez
Nicolas Jarry,Dusan Lajovic
Gerald Melzer,Fernando Verdasco
Alejandro Falla,Paolo Lorenzi
Renzo Olivo,Victor Estrella
Daniel Gimeno Traver,Martin Klizan
Horacio Zeballos,Thomaz Bellucci
Santiago Giraldo,Albert Montanes
Dusan Lajovic,Feliciano Lopez
Paolo Lorenzi,Fernando Verdasco
Martin Klizan,Victor Estrella
Albert Montanes,Thomaz Bellucci
Fernando Verdasco,Feliciano Lopez
Thomaz Bellucci,Victor Estrella
Feliciano Lopez,Victor Estrella
Pablo Cuevas,Thomaz Bellucci
Adrian Mannarino,Jack Sock
Alexandr Dolgopolov,Grigor Dimitrov
Kevin Anderson,Lukas Rosol
Dominic Thiem,Ernests Gulbis
Denis Kudla,Donald Young
Fernando Verdasco,Nick Kyrgios
Yen Hsun Lu,Vasek Pospisil
Benjamin Becker,John Isner
Nicolas Mahut,Jeremy Chardy
Hyeon Chung,Leonardo Mayer
Jerzy Janowicz,Ivo Karlovic
Filip Peliwo,Sergiy Stakhovsky
Viktor Troicki,Mikhail Youzhny
Andreas Seppi,Gilles Simon
Steve Johnson,David Goffin
Martin Klizan,Sam Querrey
Frank Dancevic,Pablo Andujar
Joao Sousa,Bernard Tomic
Janko Tipsarevic,Roberto Bautista Agut
Borna Coric,Jo Wilfried Tsonga
Fabio Fognini,Gael Monfils
Philip Bester,Gilles Muller
Feliciano Lopez,Tommy Robredo
Thomaz Bellucci,Novak Djokovic
Grigor Dimitrov,Jack Sock
Lukas Rosol,Ernests Gulbis
Tomas Berdych,Donald Young
Stanislas Wawrinka,Nick Kyrgios
Vasek Pospisil,John Isner
Leonardo Mayer,Jeremy Chardy
Milos Raonic,Ivo Karlovic
Sergiy Stakhovsky,Rafael Nadal
Gilles Simon,Mikhail Youzhny
Sam Querrey,David Goffin
Pablo Andujar,Kei Nishikori
Marin Cilic,Bernard Tomic
Roberto Bautista Agut,Jo Wilfried Tsonga
Gael Monfils,Gilles Muller
Tommy Robredo,Andy Murray
Jack Sock,Novak Djokovic
Donald Young,Ernests Gulbis
Nick Kyrgios,John Isner
Ivo Karlovic,Jeremy Chardy
Mikhail Youzhny,Rafael Nadal
David Goffin,Kei Nishikori
Bernard Tomic,Jo Wilfried Tsonga
Gilles Muller,Andy Murray
Ernests Gulbis,Novak Djokovic
John Isner,Jeremy Chardy
Rafael Nadal,Kei Nishikori
Jo Wilfried Tsonga,Andy Murray
Jeremy Chardy,Novak Djokovic
Kei Nishikori,Andy Murray
Novak Djokovic,Andy Murray
Yuichi Sugita,Radek Stepanek
Ramkumar Ramanathan,Mikhail Kukushkin
Viktor Troicki,Radu Albot
Michal Przysiezny,Joao Sousa
Samuel Groth,Benjamin Becker
Alexander Zverev,Jeremy Chardy
Santiago Giraldo,Nick Kyrgios
Jarkko Nieminen,Tatsuma Ito
Aleksandr Nedovyesov,Nikoloz Basilashvili
Yasutaka Uchiyama,Vasek Pospisil
Nicolas Almagro,Marcos Baghdatis
Rajeev Ram,Mischa Zverev
Radek Stepanek,David Ferrer
Radu Albot,Mikhail Kukushkin
Joao Sousa,Grigor Dimitrov
Jeremy Chardy,Benjamin Becker
Tatsuma Ito,Nick Kyrgios
Nikoloz Basilashvili,Ivo Karlovic
Marcos Baghdatis,Vasek Pospisil
Mischa Zverev,Feliciano Lopez
Mikhail Kukushkin,David Ferrer
Grigor Dimitrov,Benjamin Becker
Ivo Karlovic,Nick Kyrgios
Vasek Pospisil,Feliciano Lopez
Benjamin Becker,David Ferrer
Nick Kyrgios,Feliciano Lopez
Feliciano Lopez,David Ferrer
Francis Tiafoe,James Duckworth
Samuel Groth,Borna Coric
Bernard Tomic,Gianni Mina
Tim Smyczek,Lucas Pouille
Ruben Bemelmans,Sam Querrey
Benoit Paire,Juan Monaco
Mikhail Kukushkin,Nick Kyrgios
Victor Estrella,Dominic Thiem
Sergiy Stakhovsky,Alexandr Dolgopolov
Jack Sock,Dusan Lajovic
Maxime Hamou,Pablo Carreno Busta
Michael Venus,Steve Johnson
Quentin Halys,James Duckworth
Gianni Mina,Borna Coric
Lucas Pouille,Leonardo Mayer
Sam Querrey,Juan Monaco
Nick Kyrgios,Dominic Thiem
Alexandr Dolgopolov,Ernests Gulbis
Pablo Carreno Busta,Dusan Lajovic
Steve Johnson,John Isner
James Duckworth,Borna Coric
Juan Monaco,Leonardo Mayer
Ernests Gulbis,Dominic Thiem
Dusan Lajovic,John Isner
Borna Coric,Leonardo Mayer
John Isner,Dominic Thiem
Leonardo Mayer,Dominic Thiem
Nicolas Mahut,Andy Murray
Philipp Kohlschreiber,Vasek Pospisil
Julien Benneteau,Jeremy Chardy
Joao Sousa,Gilles Simon
Tobias Kamke,Tomas Berdych
Robin Haase,Andreas Seppi
Edouard Roger Vasselin,Gael Monfils
Alexander Zverev,Roberto Bautista Agut
Paul Henri Mathieu,Grigor Dimitrov
David Goffin,Gilles Muller
Denis Istomin,Guillermo Garcia Lopez
Jesse Huta Galung,Stanislas Wawrinka
Ernests Gulbis,Dominic Thiem
Marcel Granollers,Sergiy Stakhovsky
Lukas Rosol,Simone Bolelli
Andrey Kuznetsov,Milos Raonic
Vasek Pospisil,Andy Murray
Jeremy Chardy,Gilles Simon
Andreas Seppi,Tomas Berdych
Roberto Bautista Agut,Gael Monfils
Grigor Dimitrov,Gilles Muller
Guillermo Garcia Lopez,Stanislas Wawrinka
Dominic Thiem,Sergiy Stakhovsky
Simone Bolelli,Milos Raonic
Andy Murray,Gilles Simon
Gael Monfils,Tomas Berdych
Gilles Muller,Stanislas Wawrinka
Sergiy Stakhovsky,Milos Raonic
Gilles Simon,Tomas Berdych
Milos Raonic,Stanislas Wawrinka
Tomas Berdych,Stanislas Wawrinka
Robin Haase,Borna Coric
Igor Sijsling,Elias Ymer
Edouard Roger Vasselin,Gilles Muller
Luca Vanni,Ricardas Berankis
N Vijay Sundar Prashanth,Jiri Vesely
Marcel Granollers,Andreas Haider Maurer
Somdev Devvarman,Yen Hsun Lu
Alejandro Gonzalez,Pablo Carreno Busta
Alejandro Falla,Peter Gojowczyk
Evgeny Donskoy,Guillermo Garcia Lopez
Ramkumar Ramanathan,Tatsuma Ito
Lukas Lacko,Aljaz Bedene
Borna Coric,Stanislas Wawrinka
Elias Ymer,Gilles Muller
Ricardas Berankis,David Goffin
Jiri Vesely,Andreas Haider Maurer
Pablo Carreno Busta,Yen Hsun Lu
Peter Gojowczyk,Roberto Bautista Agut
Tatsuma Ito,Guillermo Garcia Lopez
Feliciano Lopez,Aljaz Bedene
Gilles Muller,Stanislas Wawrinka
Andreas Haider Maurer,David Goffin
Yen Hsun Lu,Roberto Bautista Agut
Guillermo Garcia Lopez,Aljaz Bedene
David Goffin,Stanislas Wawrinka
Roberto Bautista Agut,Aljaz Bedene
Aljaz Bedene,Stanislas Wawrinka
Jiri Vesely,Marcos Baghdatis
Viktor Troicki,Albert Ramos
Dennis Novikov,Jurgen Melzer
Dusan Lajovic,Federico Delbonis
Teymuraz Gabashvili,Juan Monaco
Jan Lennard Struff,Thanasi Kokkinakis
Andreas Haider Maurer,Borna Coric
Joao Sousa,Ivan Dodig
Mikhail Kukushkin,Vasek Pospisil
Benjamin Becker,Tim Smyczek
Mischa Zverev,Adrian Mannarino
Samuel Groth,Daniel Gimeno Traver
Marinko Matosevic,Edouard Roger Vasselin
Thiemo De Bakker,Jarkko Nieminen
Dominic Thiem,James Duckworth
Mardy Fish,Ryan Harrison
Thomaz Bellucci,Simone Bolelli
Frank Dancevic,Alexandr Dolgopolov
Dustin Brown,Andrey Golubev
Denis Kudla,Nick Kyrgios
Tatsuma Ito,Malek Jaziri
Victor Estrella,Michael Berrer
Pablo Carreno Busta,Donald Young
Filip Krajinovic,Igor Sijsling
Alex Bolt,Robin Haase
Pablo Andujar,Martin Klizan
Marcel Granollers,Steve Johnson
Sam Querrey,Sergiy Stakhovsky
Austin Krajicek,Denis Istomin
Yen Hsun Lu,Jack Sock
Mikhail Youzhny,Victor Hanescu
Jerzy Janowicz,Diego Sebastian Schwartzman
Marcos Baghdatis,Novak Djokovic
Julien Benneteau,Albert Ramos
Jurgen Melzer,John Isner
Federico Delbonis,Kevin Anderson
Marin Cilic,Juan Monaco
Guillermo Garcia Lopez,Thanasi Kokkinakis
Borna Coric,Bernard Tomic
Ivan Dodig,David Ferrer
Vasek Pospisil,Andy Murray
Tim Smyczek,Philipp Kohlschreiber
Fabio Fognini,Adrian Mannarino
Daniel Gimeno Traver,Ernests Gulbis
Edouard Roger Vasselin,Feliciano Lopez
Jarkko Nieminen,Pablo Cuevas
James Duckworth,Fernando Verdasco
Ryan Harrison,Kei Nishikori
Simone Bolelli,Milos Raonic
Santiago Giraldo,Alexandr Dolgopolov
Andrey Golubev,Tommy Robredo
Nick Kyrgios,Grigor Dimitrov
Malek Jaziri,Gilles Simon
Richard Gasquet,Michael Berrer
Jeremy Chardy,Donald Young
Igor Sijsling,Rafael Nadal
Stanislas Wawrinka,Robin Haase
Martin Klizan,Lukas Rosol
Ivo Karlovic,Steve Johnson
Sergiy Stakhovsky,Tomas Berdych
Denis Istomin,Roberto Bautista Agut
Gilles Muller,Jack Sock
Victor Hanescu,Andreas Seppi
Diego Sebastian Schwartzman,Roger Federer
Albert Ramos,Novak Djokovic
Kevin Anderson,John Isner
Juan Monaco,Thanasi Kokkinakis
David Ferrer,Bernard Tomic
Philipp Kohlschreiber,Andy Murray
Ernests Gulbis,Adrian Mannarino
Pablo Cuevas,Feliciano Lopez
Fernando Verdasco,Kei Nishikori
Alexandr Dolgopolov,Milos Raonic
Grigor Dimitrov,Tommy Robredo
Michael Berrer,Gilles Simon
Donald Young,Rafael Nadal
Robin Haase,Lukas Rosol
Steve Johnson,Tomas Berdych
Roberto Bautista Agut,Jack Sock
Andreas Seppi,Roger Federer
John Isner,Novak Djokovic
Thanasi Kokkinakis,Bernard Tomic
Adrian Mannarino,Andy Murray
Kei Nishikori,Feliciano Lopez
Tommy Robredo,Milos Raonic
Gilles Simon,Rafael Nadal
Lukas Rosol,Tomas Berdych
Jack Sock,Roger Federer
Bernard Tomic,Novak Djokovic
Feliciano Lopez,Andy Murray
Rafael Nadal,Milos Raonic
Tomas Berdych,Roger Federer
Andy Murray,Novak Djokovic
Milos Raonic,Roger Federer
Roger Federer,Novak Djokovic
Paolo Lorenzi,Martin Klizan
Malek Jaziri,Steve Darcis
Lleyton Hewitt,Thomaz Bellucci
Ricardas Berankis,Alexandr Dolgopolov
Steve Johnson,Mikhail Kukushkin
Michael Berrer,Alejandro Falla
Samuel Groth,Alexander Zverev
Jiri Vesely,Federico Delbonis
Andrey Golubev,Mikhail Youzhny
Marcos Baghdatis,Simone Bolelli
Andreas Haider Maurer,Borna Coric
